path,score
AM152.jpg,83
CM416.jpg,41
AM1970.jpg,68
AF276.jpg,29
AF597.jpg,48
AM804.jpg,46
AF1386.jpg,49
CF595.jpg,76
AF1930.jpg,68
AF1628.jpg,78
AM1607.jpg,49
CM441.jpg,41
CF107.jpg,71
CF497.jpg,48
AM1030.jpg,41
AM309.jpg,42
CF218.jpg,49
AF1637.jpg,75
CF625.jpg,75
AM1969.jpg,68
AM1011.jpg,44
AF375.jpg,33
CF717.jpg,61
CF110.jpg,42
AF882.jpg,79
AF1134.jpg,59
CF707.jpg,85
CF181.jpg,45
AM228.jpg,38
AF1394.jpg,58
CM400.jpg,36
AM1918.jpg,54
AM692.jpg,36
AM937.jpg,43
AF37.jpg,30
AF982.jpg,48
CM84.jpg,43
AM1073.jpg,31
AM1779.jpg,68
CF22.jpg,67
AM1336.jpg,39
AF948.jpg,45
AF1477.jpg,78
AM1019.jpg,43
AM1943.jpg,58
AF523.jpg,36
AF52.jpg,29
CF48.jpg,44
AM1504.jpg,41
AM530.jpg,41
AF171.jpg,50
CM492.jpg,34
CF217.jpg,70
AF673.jpg,53
AF1617.jpg,66
AF925.jpg,34
CF350.jpg,39
AF1903.jpg,77
CF38.jpg,78
AF235.jpg,42
CM379.jpg,41
AM513.jpg,42
AM282.jpg,18
AM828.jpg,40
AM1896.jpg,56
CM329.jpg,37
CM703.jpg,78
AF718.jpg,42
AF1372.jpg,54
AM1153.jpg,34
AM1411.jpg,43
CM615.jpg,51
AM1625.jpg,60
CM378.jpg,63
AM148.jpg,78
AM1644.jpg,77
AF463.jpg,34
AM1274.jpg,41
AF348.jpg,36
AM68.jpg,76
CF66.jpg,45
CF338.jpg,45
CF737.jpg,73
CF300.jpg,31
AM1894.jpg,86
CF563.jpg,79
AM1606.jpg,84
AM495.jpg,27
AM403.jpg,46
AM1363.jpg,18
CM151.jpg,30
AM1740.jpg,78
AM553.jpg,44
AM1079.jpg,34
AF1752.jpg,78
AF641.jpg,38
AM640.jpg,47
AM1264.jpg,50
CF491.jpg,29
AM1964.jpg,85
AM24.jpg,54
AF28.jpg,32
AM249.jpg,36
AM906.jpg,44
AF682.jpg,72
CF346.jpg,43
AM983.jpg,41
AM1672.jpg,50
AM1107.jpg,28
CF593.jpg,70
AM1432.jpg,44
AF69.jpg,45
CM634.jpg,76
AM529.jpg,57
AM951.jpg,31
AF1071.jpg,54
AM1065.jpg,29
CF155.jpg,30
AM1663.jpg,38
AF1125.jpg,44
CF645.jpg,72
AM303.jpg,27
AM1215.jpg,33
AM1667.jpg,81
CM576.jpg,46
CF136.jpg,37
AF1778.jpg,28
AM1806.jpg,45
AF370.jpg,39
AM591.jpg,45
AF1530.jpg,63
AM1927.jpg,71
AF189.jpg,36
AF1557.jpg,64
AM1474.jpg,34
AF222.jpg,40
AF686.jpg,41
AM1058.jpg,43
AM487.jpg,30
AM111.jpg,7
AF1491.jpg,80
CF452.jpg,51
AF766.jpg,37
AM660.jpg,23
CM386.jpg,41
AM728.jpg,43
CF667.jpg,74
AF1118.jpg,22
AM686.jpg,46
AF801.jpg,41
AM1603.jpg,81
CF298.jpg,49
CM328.jpg,29
AF580.jpg,43
CM570.jpg,52
AM510.jpg,43
CM19.jpg,66
AM708.jpg,25
AM898.jpg,35
AF1806.jpg,78
AM1071.jpg,29
AM1379.jpg,37
AF688.jpg,16
AM766.jpg,41
AF1937.jpg,55
CF307.jpg,61
AF1713.jpg,70
CM701.jpg,76
AM1333.jpg,39
AM112.jpg,79
CF283.jpg,46
AF941.jpg,14
AM759.jpg,50
AM780.jpg,46
AM1803.jpg,43
CF93.jpg,66
AM976.jpg,24
CF10.jpg,64
